name,cost
NYMA Hotel,385
Comfort Inn Brooklyn City Center,366
GLO Best Western Brooklyn,360
New York LaGuardia Airport Marriott Courtyard,339
4747 Bronx Boulevard Shelter,323
"Holiday Inn Express New York, an IHG Hotel",320
Holiday Inn Express Brooklyn - Kings HWY,311
Holiday Inn Express Jamaica New York,292
Hotel Ninety Five Parkchester,290
Windsor Hotel,271
Radisson,270
Lexington Inn Brooklyn,270
Pitkin Hotel,247
Best Western Plus Stadium Inn,247
Night Hotel by SB,230
Blue Bird Inn,226
Rodeway Inn,213
Hotel 46 Times Square,211
Springhill Suites by Marriott New York LaGuardia Airport,206
Roosevelt Hotel,200
Artel Hotel,195
Days Inn by Wyndham Long Island City,185
The Haven,184
Days Inn by Wyndham Brooklyn,183
Magna Hotel,166
"Holiday Inn Express Staten Island West, an IHG Hotel",158
Microtel Inn by Wyndham Long Island City,155
GWB Hotel,151
Hotel Mela Times Square,147
Artel 535,143
Red Lion,143
Artel Hotel by the Red Collection Times Square,139
Washington Jefferson Hotel,129
Days Inn & Suites by Wyndham Jamaica JFK Airport,120
Ramada Wyndham,110
Bayview Inn Motel,90
Stewart Hotel,55
